Uid;Assets;WirePhaseInfo;phaseWireCount;type
04458492-3c67-4d91-8aa0-3f8953cabc69;1;1;0;?????????
6f697fa5-b17e-4e8d-92df-f27adcd8f76e;1;1;0;?????????
8415bfe0-4c2a-419e-a036-67f652fb4a89;1;1;0;?????????
05e3b657-e63a-48fe-8c88-57e659e453f8;1;1;0;?????????
9e424dfa-9cee-499f-8625-0fbb8d82c164;1;1;0;?????????
d02db236-06e2-4983-9298-b42f40dcd03e;1;1;0;?????????
007779c2-705a-4529-bc5e-216044e33092;1;1;0;?????????
bc04bac7-bd2f-4f35-8b9d-622f6855a486;1;1;0;?????????
96debc59-95b0-4624-adfd-59ddd4627fd9;1;1;0;?????????
e04ede19-eedd-49d5-a6a4-c33bfe980c68;1;1;0;?????????
d917db9d-c9d2-4fb0-9d52-14df1876a5c5;1;1;0;?????????
76c74111-44ac-4822-867c-37fabbd6d3be;1;1;0;?????????
a88d62c5-42a6-4227-8f8c-d0d77c1feffe;1;1;0;?????????
7493d8bc-2055-4b5c-ab0f-ce713e944449;1;1;0;?????????
0a30f517-c95c-4227-a490-233f7b458b61;1;1;0;?????????
d265b8e9-0fa6-48a3-a7ae-6373b7ec1b7e;1;1;0;?????????
92734cdf-3ff0-4a2b-8da6-1e4061e51bee;1;1;0;?????????
84b73ac2-b3be-4158-9003-5f9574895959;1;1;0;?????????
7f2118ac-8c40-464e-9570-41b4debdd807;1;1;0;?????????
9933d0d0-ed14-482d-988c-42b6a83fecb2;1;1;0;?????????
8b64b14f-4b68-44aa-beaa-bad1c0023d41;1;1;0;?????????
2aae86de-3c34-4d07-a27e-707b6c1174aa;1;1;0;?????????
82579dc3-19d3-4784-a521-23ccf56c03f3;1;1;0;?????????
be0b8472-1e1b-46dd-a974-175c8b4bd1c2;1;1;0;?????????
60511a6d-4453-49b5-b0b4-3c298eb0c317;1;1;0;?????????
47378ba0-64fd-4fe4-92d2-752accd6ca6d;1;1;0;?????????
323007b6-419c-4d9d-8ad1-f630ac32065d;1;1;0;?????????
6d822d68-46d7-403b-bf7b-dc46ad986def;1;1;0;?????????
d0dec31a-f891-4a82-b5d5-46a0250b0c18;1;1;0;?????????
b8757c41-dff2-40c8-8869-1e80f5399eee;1;1;0;?????????
9e48fc7c-6686-4747-96ca-42e316304ec9;1;1;0;?????????
7e978d43-fb67-45c0-b437-4c87e9e7b845;1;1;0;?????????
974d359f-96de-40aa-879c-45b5871c944f;1;1;0;?????????
31552e7d-1dcb-4d2e-9582-3a3a0c81e6f0;1;1;0;?????????
b941976f-afc0-4f69-9e86-cc0e27e1cf68;1;1;0;?????????
a6e3192f-2991-47a3-a51c-02ed217205c8;1;1;0;?????????
a8ea2917-8c38-46da-91cb-e01ea312279c;1;1;0;?????????
3abeb3a3-1ff3-4d2f-89be-eb68337eaf5e;1;1;0;?????????
0c1fd79a-4e47-4f95-ac9e-c3f407ffe16a;1;1;0;?????????
f09af986-62e5-4488-8cce-bd80277843ae;1;1;0;?????????
0ce7f808-62ed-4992-9abe-090716861bdf;1;1;0;?????????
06076c6c-987d-4805-8281-702e841a7625;2;1;0;?????????
06076c6c-987d-4805-8281-702e841a7625;2;1;0;?????????
57280b00-ee74-487e-b15b-5be3f470e934;1;1;0;?????????
a6536c1d-348e-49ba-bd68-b7d56d594753;1;1;0;?????????
5b617cde-2a22-454d-90e0-4d23b710fdfa;1;1;0;?????????
b7e1c926-71a2-4059-94d1-8a6f78f4193c;1;1;0;?????????
0932e506-3536-4a09-971c-8d03bf8f23d3;1;1;0;?????????
a4ab997d-8079-4ba6-9c10-86063bd59ce6;1;1;0;?????????
bc547c64-8524-4bf5-9ba7-270fdf143ade;2;1;0;?????????
bc547c64-8524-4bf5-9ba7-270fdf143ade;2;1;0;?????????
5e218127-dcd3-4862-97fc-92d7e038575c;2;1;0;?????????
5e218127-dcd3-4862-97fc-92d7e038575c;2;1;0;?????????
0a294911-5d95-496f-974c-eb7fa3ab6ee5;2;1;0;?????????
0a294911-5d95-496f-974c-eb7fa3ab6ee5;2;1;0;?????????
549df637-2420-4956-9391-54663038a5b3;2;1;0;?????????
549df637-2420-4956-9391-54663038a5b3;2;1;0;?????????
831112eb-5ff1-4273-9c29-30b3ee0bb1a4;2;1;0;?????????
831112eb-5ff1-4273-9c29-30b3ee0bb1a4;2;1;0;?????????
b8ba7855-b8c3-481b-9fd3-0093d7eb81b2;2;1;0;?????????
b8ba7855-b8c3-481b-9fd3-0093d7eb81b2;2;1;0;?????????
913d563b-e79f-4ee7-b7f7-c15ffd8a961d;2;1;0;?????????
913d563b-e79f-4ee7-b7f7-c15ffd8a961d;2;1;0;?????????
ec5809ba-3608-440d-adc6-7d88916e07fc;1;1;0;?????????
81b75fc7-4a7a-427d-a168-60d5d78f76c7;1;1;0;?????????
