r,x,PSRType(A),cluster
2.771,4.752,1,0
2.771,4.752,1,0
3.8,6.57,1,0
6.8,11.4,1,0
6.66,10.08,1,0
6.06,9.19,1,0
8.14878,11.55742,1,0
0.102,0.179,1,0
15.74,27.0,1,1
0.022,0.038,1,0
0.022,0.038,1,0
0.70272,1.22976,1,0
0.70272,1.22976,1,0
4.6,7.9,1,0
4.83,8.29,1,0
6.7,11.5,1,0
1.14,2.42,1,0
3.8,6.52,1,0
5.19,11.0,1,0
6.42,11.02,1,0
5.74,9.84,1,0
7.4,12.7,1,0
5.6,8.3,1,0
2.54,4.7,1,0
8.26,11.72,1,1
3.8,8.2,1,0
5.6,9.6,1,0
8.1,13.8,1,1
1.7,3.7,1,0
7.2,12.3,1,0
7.1,12.2,1,0
6.0,10.2,1,0
1.7,3.0,1,0
4.8,8.2,1,0
9.3,15.9,1,1
10.4,17.8,1,1
5.1,8.7,1,0
7.6,16.2,1,1
0.017,0.039,0,2
0.017,0.039,0,2
3.5502,6.21285,1,0
4.2212,7.3871,1,0
0.38308,0.67039,1,0
0.38308,0.67039,1,0
4.9419,10.42245,1,0
4.9419,10.42245,1,0
1.04036,2.2688,1,0
1.04036,2.2688,1,0
0.94916,1.66103,1,0
0.94916,1.66103,1,0
1.884,3.296,1,0
0.01,0.01,1,0
1.884,3.296,1,0
0.01,0.01,1,0
17.2,17.76,1,1
0.653,1.344,1,0
0.653,1.344,1,0
0.93000001,2.66000009,1,0
1.49000001,2.54999995,1,0
17.10000038,61.47000122,1,1
0.30000001,1.20000005,1,0
0.1,0.06,1,0
9.0,17.34,1,1
0.001,0.001,0,2
0.001,0.001,0,2
4.17,7.297,1,0
0.512,0.738,1,0
4.17,7.297,1,0
0.041,0.084,1,0
0.143,0.372,1,0
0.153,0.526,1,0
0.512,0.738,1,0
0.051,0.105,1,0
0.747,1.307,1,0
0.449,0.924,1,0
0.747,1.307,1,0
0.08,0.16,1,0
0.08,0.16,1,0
0.78,3.2,1,0
0.78,7.2,1,0
0.464,0.668,1,0
0.632,1.302,1,0
0.54,0.93,1,0
3.25,5.68,1,0
2.14,3.67,1,0
4.43,7.6,1,0
3.251,4.687,1,0
10.69,16.32,1,1
0.392,0.686,1,0
0.392,0.686,1,0
0.105,0.184,1,0
0.04,0.6,0,2
0.04,0.6,0,2
0.05,0.49,0,2
31.87,48.31,1,1
1.17,2.48,1,0
5.8,12.31,1,0
0.43,0.91,1,0
3.86,5.48,1,0
0.001,0.001,0,2
0.001,0.001,0,2
0.001,0.001,0,2
0.001,0.001,0,2
0.001,0.001,0,2
0.001,0.001,0,2
0.001,0.001,0,2
0.001,0.001,0,2
0.122,0.214,1,0
4.121,7.212,1,0
4.121,7.212,1,0
0.1,0.1,1,0
12.49,20.93,1,1
0.1,0.1,1,0
9.19,18.02,1,1
0.016,0.04,1,0
5.35,9.18,1,0
17.9,30.7,1,1
23.4,40.13,1,1
17.9,30.7,1,1
0.94,1.61,1,0
0.94,1.61,1,0
1.06,1.65,1,0
14.04,24.56,1,1
0.007,0.013,1,0
0.007,0.013,1,0
14.04,24.56,1,1
1.85844,3.8262,1,0
1.85844,3.8262,1,0
0.313344,0.64512,1,0
0.19,0.316,0,2
1.25136,2.47452307692308,1,0
0.0204,0.042,1,0
7.34,12.58,1,0
0.73,1.26,1,0
0.176,0.307,1,0
0.18,0.45,1,0
11.2,28.0,1,1
5.2,10.4,1,0
1.106,2.3905,1,0
1.106,2.3905,1,0
0.1,0.1,1,0
1.12,1.9,1,0
0.1,0.1,1,0
0.180027,0.308721,1,0
0.88,1.73,1,0
1.76,3.49,1,0
3.57,5.33,1,0
10.4,17.84,1,1
2.54,4.36,1,0
0.453375768217735,0.938920105355575,1,0
0.453375768217735,0.938920105355575,1,0
2.27716535433071,3.79527559055118,1,0
0.46,0.64,1,0
0.13,0.34,1,0
0.01,0.1,1,0
0.01,0.1,1,0
0.01,0.01,1,0
0.01,0.01,1,0
0.01,0.01,1,0
0.0973,0.268,1,0
0.01,0.01,1,0
0.01,0.1,1,0
0.01,0.01,1,0
0.01,0.01,1,0
0.47382,1.23074,1,0
5.08,8.16,1,0
1.0236,1.3594,1,0
12.23,23.38,1,1
0.0,0.1,1,0
0.01,0.01,1,0
1.0122,1.3444,1,0
0.9781,1.9341,1,0
0.6408,1.301,1,0
0.7363,1.4949,1,0
0.9811,1.9919,1,0
0.7363,1.4949,1,0
0.26,0.62,1,0
0.26,0.62,1,0
0.0973,0.268,1,0
1.5614693877551,2.7330612244898,1,0
2.001,3.501,1,0
2.7572,4.8251,1,0
