1;2;3;4;5;6
0;1987;25;30000,00;3200,00;86
1;1961;50;3960,00;700;40,6
1;1944;12600;11000,00;12600,00;1,6
2;1948;12000;8000,00;12000,00;1,5
0;1976;25;12000,00;1600,00;53,7
1;1999;30;12000,00;1600,00;53,7
1;1960;30;10500,00;1520,00;55
2;1959;40;6000,00;1200,00;45,3
2;1983;40;7500,00;1200,00;49
3;1992;25;16000,00;2100,00;66,1
2;1966;30;10500,00;1520,00;55
0;2012;25;8000,00;1000,00;40
0;1974;25;11600,00;1600,00;52,7
1;2008;20;28600,00;3200,00;90
0;1998;30;15400,00;1600,00;64,1
2;1968;25;7000,00;1296,00;49
5;2012;25;16000,00;2300,00;74,4
0;1963;25;5200,00;800;45
0;1960;25;5200,00;800;45
0;1964;25;11200,00;1600,00;50
2;1975;27;15000,00;2100,00;64,8
2;1989;25;29600,00;3200,00;82
1;1972;36;10500,00;1520,00;55
1;1965;36;10500,00;1520,00;55
2;1987;30;8000,00;1200,00;48,4
2;1972;100;28000,00;4000,00;91
0;2012;30;13000,00;3000,00;33
1;2008;25;13500,00;1600,00;53,8
3;1979;25;1800,00;2600,00;64,6
1;1978;26;14000,00;2100,00;64,8
0;1962;30;8000,00;1200,00;48,3
0;1955;30;8000,00;1200,00;48,3
2;1985;25;18000,00;2600,00;71
0;1979;30;10500,00;1600,00;54,2
4;2014;50;12000,00;1600,00;64,1
2;2010;25;6000,00;2232,00;6,9
0;1955;50;280;560;35
3;2015;15;5860,00;256;13,3
1;1962;50;9700,00;1280,00;49,5
2;1983;25;10500,00;1600,00;53,5
0;1990;25;12000,00;1600,00;55,2
4;2011;25;1853,00;432;14
1;1965;15;10500,00;1520,00;55
3;1981;70;12000,00;1600,00;53,5
0;1981;45;126;16;6,8
5;1994;36;12000,00;1600,00;64
1;1959;55;5000,00;400;24
1;1978;25;12900,00;1600,00;53,66
1;1973;30;20800,00;2600,00;65
1;2010;37;8000,00;724;14,1
1;1996;25;30000,00;3200,00;86
2;1978;36;28000,00;3200,00;82
0;1981;36;28000,00;3200,00;82
1;1976;30;8000,00;1200,00;48,4
0;1984;25;12000,00;1600,00;53,7
3;1974;50;36000,00;4200,00;102
0;1977;40;12000,00;1600,00;55
1;1976;40;9000,00;900;44
1;1959;30;10500,00;1520,00;55
0;1967;25;11600,00;1600,00;52,7
2;1968;40;7590,00;1610,00;52,9
2;1960;40;11000,00;1600,00;26,9
0;1956;40;8000,00;1600,00;50
3;1965;40;7500,00;1280,00;48,4
1;1962;25;11200,00;1600,00;54
1;2005;40;21000,00;3200,00;89
1;1964;36;10500,00;1520,00;55
2;1976;36;28000,00;3200,00;82
2;1977;36;28000,00;3200,00;82
3;1977;25;9000,00;1200,00;48,4
0;1970;30;6210,00;800;20,5
2;1972;100;28000,00;4000,00;91
2;2011;30;95000,00;10000,00;150
1;2013;20;368;501;4,1
2;1975;25;1800,00;2600,00;64,6
1;1969;25;9000,00;1600,00;54,7
2;2011;35;4800,00;384;14,5
0;2009;30;4000,00;259,2;6,9
0;1960;25;10000,00;1600,00;48,5
4;1962;25;8000,00;1610,00;54
3;1996;30;12500,00;1600,00;53,7
3;1961;70;12000,00;1600,00;50
1;1967;30;11400,00;1610,00;52
3;2015;15;5860,00;256;13,3
0;1993;30;22000,00;3200,00;81
0;1983;25;12000,00;1600,00;55,2
0;1980;30;18600,00;2600,00;72
1;1979;25;10500,00;1520,00;55,3
3;1982;25;12000,00;1600,00;53,7
3;1973;15;28000,00;3200,00;82
3;1998;70;11000,00;1600,00;54
5;1976;36;12000,00;1600,00;55,2
1;1986;25;28000,00;2600,00;71,8
2;1992;25;22000,00;3200,00;86,1
2;1962;30;10500,00;1520,00;55
1;1976;30;20800,00;2600,00;65
0;1986;25;23000,00;2300,00;74,4
0;1990;25;30000,00;3200,00;86
1;1962;30;10500,00;1520,00;55
3;1971;30;10500,00;1520,00;55
1;1948;25;2000,00;256;32
0;1977;25;12000,00;1600,00;53,7
2;2005;30;120000,00;10000,00;150
2;2005;30;120000,00;10000,00;150
1;1996;25;18600,00;2600,00;72,2
1;2000;58;28600,00;3200,00;87
1;1963;25;3000,00;500;40
1;1986;25;3400,00;576;39,7
1;1975;50;25000,00;3200,00;81,1
1;1962;36;10500,00;1520,00;55,3
0;1963;25;11200,00;1600,00;55,3
0;2011;25;23000,00;2300,00;74,4
0;1988;25;21200,00;2100,00;64,8
2;2011;40;23310,00;3200,00;82
1;1983;25;29600,00;3200,00;82
2;1972;25;2600,00;500;40
2;1974;100;28000,00;4000,00;91
2;1971;100;28000,00;4000,00;91
3;1970;45;13000,00;1600,00;53,5
0;1957;25;10000,00;1600,00;48,74
0;1963;25;10000,00;1600,00;48,74
1;1974;25;2500,00;324;34
1;2002;30;5780,00;595;18
2;2012;40;33627,00;3200,00;87
1;1983;30;12500,00;1600,00;53,7
1;1979;30;12000,00;1600,00;55
2;1983;30;11000,00;1600,00;53,7
1;1963;15;10500,00;1520,00;55
0;1982;30;18600,00;2600,00;72
0;1988;30;18600,00;2300,00;74
1;1958;25;5500,00;800;45
0;1972;75;15000,00;1610,00;53
0;1980;50;13200,00;1600,00;55,2
2;1966;25;9000,00;1200,00;48
1;1979;10;16400,00;1600,00;53,7
0;1986;25;11200,00;1600,00;53,7
0;1965;50;12500,00;1520,00;55
3;1979;15;28000,00;3200,00;82
5;1981;36;12000,00;1600,00;55,2
1;1980;25;13000,00;1600,00;53,7
1;1976;30;20800,00;2600,00;65
1;1977;25;1008,00;144;8
0;2009;25;30000,00;3200,00;86
1;1970;36;10500,00;1520,00;55
2;1980;36;28000,00;3200,00;82
0;1995;36;28000,00;3200,00;82
1;2011;25;17600,00;2300,00;74,4
1;1982;30;12000,00;1600,00;53,7
3;2007;40;7500,00;1200,00;49
0;1968;25;6000,00;725;40
0;1961;40;8000,00;1600,00;50
0;1964;40;8000,00;1600,00;50
1;1986;25;3400,00;576;39,7
1;2011;30;3125,00;235;6,5
0;1967;25;11200,00;1600,00;53
2;1975;27;15000,00;2100,00;64,8
1;1937;25;10500,00;1632,00;46,9
1;1974;36;10500,00;1520,00;55
1;1968;36;10500,00;1520,00;55
2;2008;36;28000,00;3200,00;82
1;1996;30;32000,00;3200,00;80
0;2013;30;16000,00;1600,00;64,2
1;1958;25;2600,00;500;40
2;1971;100;28000,00;4000,00;91
0;2012;30;13000,00;3000,00;33
2;1986;50;10000,00;1600,00;53,8
1;1975;50;10000,00;1600,00;53,8
3;1993;50;15000,00;1600,00;64,1
3;1990;50;10000,00;1600,00;53,8
1;1972;50;10000,00;1600,00;53,8
0;2010;25;3500,00;1920,00;15
0;2011;25;3500,00;1920,00;15
0;2011;25;3500,00;1920,00;15
0;2010;25;3500,00;1920,00;15
2;1974;30;3200,00;900;17,2
3;2014;25;28200,00;3200,00;86
3;1975;30;3200,00;900;17,2
4;1976;30;3200,00;900;17,2
2;2014;20;10750,00;768;11,6
2;2014;20;10750,00;768;11,6
5;2014;20;5392,50;384;11,41
2;2014;25;14760,00;1200,00;50
5;2014;20;5392,50;384;11,41
0;2014;25;11500,00;1600,00;53,7
1;2014;30;14830,00;768;12,5
1;2014;37;5950,00;288;9,9
2;1956;50;6000,00;1200,00;39,6
1;1953;50;6000,00;1200,00;39,6
1;1960;50;8000,00;1520,00;55
1;2013;25;23000,00;4000,00;80
1;1958;50;8000,00;1520,00;55
2;2013;25;23000,00;4000,00;80
2;2009;20;5600,00;432;7,8
2;1976;50;12600,00;1600,00;53,5
1;2013;20;5450,00;288;9,2
1;2014;25;1000,00;484;17,5
1;1959;20;11000,00;1600,00;50,3
2;1980;50;12600,00;1600,00;53,5
2;2007;25;2100,00;110,5;15,5
1;2013;30;11900,00;911,3;17,8
3;2010;20;1800,00;88;7
2;2013;30;9649,00;182;7,8
1;2008;25;2000,00;93,1;12
1;2011;50;4000,00;76,8;6,9
1;2013;30;9649,00;182;7,8
2;1959;20;11000,00;1600,00;50,3
3;1965;20;8000,00;1610,00;52,9
3;2015;25;28200,00;3200,00;86
3;2014;30;16000,00;1600,00;64,5
3;2014;30;16000,00;1600,00;64,5
2;1992;40;20500,00;2300,00;74
0;1955;25;10000,00;1600,00;50,6
0;1964;25;10000,00;1600,00;50,6
1;2015;40;6600,00;414;11,78
0;1978;41;192;48;9
1;2009;30;80;6,21;3,9
1;2009;30;80;6,21;3,9
1;2009;30;80;6,21;3,9
2;2009;30;80;6,21;3,9
2;2009;30;80;6,21;3,9
2;2009;30;80;6,21;3,9
3;2009;30;80;6,21;3,9
3;2009;30;80;6,21;3,9
3;2009;30;80;6,21;3,9
1;1969;30;20800,00;2600,00;65
1;1970;25;20800,00;2600,00;65
1;1973;25;20800,00;2600,00;65
1;1971;25;20800,00;2600,00;65
2;1978;25;20800,00;2600,00;70
2;1981;25;20800,00;2600,00;70
2;2014;25;15350,00;720;11,8
3;2014;25;23000,00;4000,00;80
1;2015;50;20280,00;2300,00;74,4
3;2016;25;13500,00;2100,00;66
3;2016;25;13500,00;2100,00;66
3;2016;25;13500,00;672;12,8
3;2016;25;13500,00;672;12,8
2;2016;20;19518,00;972;13,36
2;2016;20;19518,00;972;13,36
9;2015;36;22800,00;0;40
2;2016;50;17250,00;2300,00;74,36
1;2016;25;24500,00;1152,00;10,8
2;2014;50;188749,00;10300,00;171,5
1;1981;70;20000,00;2600,00;72
1;1983;70;20000,00;2600,00;72
1;1987;70;20000,00;2600,00;72
4;2016;50;77040,00;6500,00;130
3;2016;40;23000,00;1944,00;19,3
2;1965;30;10500,00;1520,00;55
1;2016;25;13500,00;768;9
1;2015;40;15500,00;0;40
2;2016;25;17600,00;2300,00;74
2;2017;30;43000,00;5400,00;92,3
1;2017;20;13062,00;887;8,65
1;2017;20;13062,00;887;8,65
4;2016;50;146801,00;10100,00;170,83
1;2017;50;20280,00;2300,00;74,4
2;2017;50;9852,00;1200,00;52,8
1;1917;50;60000,00;10000,00;900
2;2010;10;10080,00;720;9,9
2;1966;10;18500,00;2300,00;74,36
1;2011;30;15000,00;0;22
1;2005;50;10000,00;1520,00;55
1;2006;50;10000,00;1520,00;55
1;1965;50;10000,00;1520,00;55
1;1968;50;10000,00;1520,00;55
1;1968;50;10000,00;1520,00;55
1;1972;50;10000,00;1520,00;55
1;1996;50;10000,00;1600,00;55
1;2018;30;14500,00;2100,00;68,52
2;2018;30;14500,00;2100,00;68,52
1;1951;30;2000,00;2130,00;45,6
1;2011;25;10000,00;768;9
1;2011;25;10000,00;768;9
1;2011;25;10000,00;768;10
1;1962;40;9000,00;1280,00;49,46
2;1965;40;11000,00;1610,00;52,99
2;1969;40;11000,00;1610,00;52,99
2;1984;40;11100,00;1600,00;52,99
2;2011;30;3300,00;500;40
1;1998;30;2800,00;500;40
0;2018;40;0;0;37
0;2018;40;0;0;37
0;2018;40;0;0;37
0;2018;40;0;0;37
1;2018;40;300;17910,00;13,15
1;2018;25;7680,00;261440,00;28,2
1;2018;25;7680,00;261440,00;28,2
1;2018;25;7680,00;261440,00;28,2
1;2018;25;7680,00;261440,00;28,2
3;1948;20;8000,00;2000,00;47
3;1948;20;6000,00;2000,00;47
3;1965;20;8000,00;10000,00;54
3;1970;20;8000,00;10000,00;54
2;2018;50;188749,00;10300,00;171,5
6;2018;30;17515,00;1600,00;64
1;2018;30;17400,00;0;37
1;1959;20;7000,00;1280,00;49,6
1;1959;20;7000,00;1280,00;49,6
1;2019;25;8200,00;2820,00;25
1;2019;30;16000,00;0;65
2;2018;30;17400,00;0;37
4;2019;50;146801,00;10100,00;170
3;2019;25;8076,00;298,6;6,88
1;1975;25;20000,00;2600,00;72
2;2014;20;23000,00;1536,00;12,2
1;2019;40;300;17910,00;13,15
4;2020;30;7200,00;432;9,3
8;2020;40;6590,00;432;8
8;2020;40;6590,00;432;8
1;1953;30;6120,00;800;43,25
2;1966;30;6120,00;800;43,25
3;2006;30;8600,00;1600,00;64,1
1;2002;40;500;58,17;10,4
1;2020;50;14000,00;972;11,79
1;2020;40;24000,00;713017,00;26,06
1;2020;40;1620,00;95069,00;26,06
0;1950;30;550;128;32,18
0;1950;30;950;230;32,18
1;1986;60;7000,00;900;43,37
1;1986;60;20000,00;2600,00;70,97
1;1954;60;6000,00;1200,00;45
1;1955;20;6400,00;1200,00;43,8
1;1960;60;6000,00;1200,00;43,8
2;1963;60;7000,00;1280,00;48
2;1965;60;7000,00;1280,00;48
2;1971;60;11000,00;1600,00;54
1;1972;60;6500,00;1200,00;40
5;2015;20;3000,00;384;11,41
1;2002;20;2000,00;200;11,22
2;2002;20;2000,00;200;11,22
3;2003;20;2000,00;200;11,22
2;2018;60;80000,00;10000,00;150
2;2018;60;80000,00;10000,00;150
2;2019;25;10000,00;768;7,7
2;2019;25;10000,00;768;7,7
1;2021;40;8900,00;0;25,7
1;2021;40;8900,00;0;25,7
1;2020;20;7000,00;576;12
2;2021;60;150000,00;11400,00;167
2;2016;15;500;39,4;5,2
1,2;2022;15;11000,00;784;14
1;2022;30;34675,00;3600,00;88
3;2016;40;23000,00;3200,00;86,08
1;1959;50;10000,00;1600,00;54,6
1;1959;50;10000,00;1600,00;54,6
1;2006;40;1050,00;256;7,2
1;2022;20;5000,00;360;11,42
251;1968;25;6,55;4000,00;90
252;1969;25;6,55;4000,00;90
253;1971;25;6,55;4000,00;90
1;1984;50;100000,00;10000,00;150
1;1993;50;72000,00;10000,00;150
1;2022;20;5000,00;360;11,42
1;2022;30;7000,00;1200,00;44
0;2024;40;2000,00;0;19,2
0;2024;40;2000,00;0;19,2
1;2023;30;690,5;138;1,2
1;2023;30;690,5;138;1,2
1,2;2024;40;20000,00;1680,00;7,5
0;2003;30;4000,00;576;11,5
0;2010;30;5000,00;432;7
1;2022;25;6000,00;420;9,6
1;2024;30;7000,00;1200,00;43,8
0;1960;25;10000,00;1600,00;50
0;1972;25;10000,00;1600,00;50
1;1963;25;3000,00;500;40
2;2014;50;188749,00;10300,00;171,5
2;2018;50;188749,00;10300,00;171,5
4;2016;50;77040,00;6500,00;130
2;2011;30;22;2100,00;64,39
1;1968;25;6;4000,00;90
1;1969;25;6;4000,00;90
1;1971;25;6;4000,00;90
